리뷰,점수,감정판단
강아지가 너무 좋아하고 너무 귀여워요.. 옷감도 완전 부드럽습니당 입혀놓으니까 완전 애기같아서 소리지르면서 사진 찍었어요ㅜ 다음에 다른 색으로 또 살거예요 번창하세요! ++ 아 그리고 단추는 채우는게 아니라 이미 저렇게 되있는거 저 상태로 애기한테 입히면 돼요!!! 그래서 더 편하게 있는 것 같고 저도 입히기 편했어요,5,1
애기미용하고 허전해할까바 구매햇어요~  상품받고 너무 부드러워서 놀랫어요~  색상이랑 디자인도 너무 예쁘고~ 아가가 넘 좋아해요~  따뜻해서 많이안추운날엔 저옷만입고도 산책한답니다~ 옷은 살짝 크네요~ 그거빼곤 너무 좋아요,5,1
12살 2.4키로 말티즈에요 저희 애기는 말랐지만 몸통이 긴편이라 m입혀요 이건 집에있는 m사이즈들보다 좀더넉넉해요 몸길이는 어깨부터 꼬리시작까지 대략 30센치 정도 되네요 나이들면서 부쩍 추위를 많이타 실내복으로 편하게 입힐려고 샀어요 많이 두툼하지 않아  금세 입히고 훌렁 벗기기 편해요 특히 원단이 부들부들해서 촉감이 너무 좋네요,5,1
너구리 네개 샀는데 넘 귀여워요ㅠㅠ 볼때는 안 그래 보였는데 은근 두께가있고 부드러운 재질이라 따뜻하게 잘 입히는 중입니다! 사이즈도 표기된 거 보고 애들 몸길이 재서 샀더니 딱이에요! 특히 너구리는 모자를 고정시킬 수 있는 똑딱이가 있어서 좋았어요!,5,1
저희 강아지가 2.5키로 치와와 인데 가슴둘레가 30센치에 몸길이가 24라서 m 을 시켰더니 다른곳은 다 맞는데 길이가 좀 길어요 꼬리까지 가려버려요 ㅠㅠ s는 작을것 같고 다른 옷을 시킬걸 그랬어요 근데 옷은 이뻐요 어떻게 수선해서 입히려고요,5,1
피부 약한 애기 키우고 있는데 다른 옷은 전부 몰라도 와 수면 조끼 하나는 인정해 드려야 할 것 같아요 저는 얘 맨몸에 뭐 걸치고 잔 걸 보기는 봤어도 떡실신 하는 건 첨 봤어요 사실 토끼 조끼가 더 귀여워서 사 입히고 싶었는데 애기 얼굴 믿고 뭘 입혀도 귀엽겠지 싶어 화면상으로 조금 구린 민트 별 조끼 주문했거든요 패완얼인지 그냥 조끼가 귀여운 건지 귀엽기만 하네요 애기도 걸리적거리는 곳이 없는지 긁지도 않고 부자연스럽지도 않고 리뷰 안 쓰려다가 써요 아 나머지 단가라랑 나그랑도 너무 귀여워요 벗겨 놓은 것도 귀여운데 입혀 놓으니까 세 배 더 귀여운 것 같은데 견주 분들 그냥 사세요,5,1
기모가 들어가있고 원래 M사이즈입히는데 통풍되라고 편하게 입히려고 L샀는데 낙낙하이 벗겨지지않고 잘맞아요. 옷에 냄새도 안나고 이쁩니다. 사세요~저희강쥐 2.5키로 토이푸들이공 허리길어요. 올인원은 M입혀야합니다. 안그럼 배변이 다묻음~,5,1
좋아요. 잘못온거는 교환해주신다고 해서 보냈고 아직 안왔네요.  잘입힐게요~ 개가 많은데 한 놈이 덩치가 작아 잘 물리기도 하고 힘들어했는데 다른 어떤개가 사자옷입고 극복했다는 얘기가 있어 반신반의하면서 주문했는데요.  사자옷입히고나니 정말 자신감 뿜뿜이네요~  대른 애들도 얕잡아보지 않구요 ㅋㅋ,5,1
좋아요. 잘못온거는 교환해주신다고 해서 보냈고 아직 안왔네요.  잘입힐게요~ 개가 많은데 한 놈이 덩치가 작아 잘 물리기도 하고 힘들어했는데 다른 어떤개가 사자옷입고 극복했다는 얘기가 있어 반신반의하면서 주문했는데요.  사자옷입히고나니 정말 자신감 뿜뿜이네요~  대른 애들도 얕잡아보지 않구요 ㅋㅋ,5,1
좋아요. 잘못온거는 교환해주신다고 해서 보냈고 아직 안왔네요.  잘입힐게요~ 개가 많은데 한 놈이 덩치가 작아 잘 물리기도 하고 힘들어했는데 다른 어떤개가 사자옷입고 극복했다는 얘기가 있어 반신반의하면서 주문했는데요.  사자옷입히고나니 정말 자신감 뿜뿜이네요~  대른 애들도 얕잡아보지 않구요 ㅋㅋ,5,1
좋아요. 잘못온거는 교환해주신다고 해서 보냈고 아직 안왔네요.  잘입힐게요~ 개가 많은데 한 놈이 덩치가 작아 잘 물리기도 하고 힘들어했는데 다른 어떤개가 사자옷입고 극복했다는 얘기가 있어 반신반의하면서 주문했는데요.  사자옷입히고나니 정말 자신감 뿜뿜이네요~  대른 애들도 얕잡아보지 않구요 ㅋㅋ,5,1
좋아요. 잘못온거는 교환해주신다고 해서 보냈고 아직 안왔네요.  잘입힐게요~ 개가 많은데 한 놈이 덩치가 작아 잘 물리기도 하고 힘들어했는데 다른 어떤개가 사자옷입고 극복했다는 얘기가 있어 반신반의하면서 주문했는데요.  사자옷입히고나니 정말 자신감 뿜뿜이네요~  대른 애들도 얕잡아보지 않구요 ㅋㅋ,5,1
6갤반짜리 2.초반 포메에요. M사이즈가 조금이라도 클줄알앗는데 너무 딱맞아요. 딱맞아서 지금은 이쁜데 조금더크면 입을수잇을진 모르겠어요.ㅎㅎ옷이 오자마자 토끼귀장식을 하나 물어뜯었네요...옷품질은 가격대비 하자도 없고 좋아요 ^^,5,1
예전에 아디독스올인원 m사이즈 입혔었는데 좀 쫑겨보여서 이번에 라지 주문했더니 후드티는 그래도 넉넉하니 입을만 한데 올인원은 자꾸 뒷다리가 빠지네용ㅜㅜ m이 쫌 쫑기긴해도 m사이즈 입혀야할것같아요... 라지는 크지만 일단 옷이 예쁘기때뮨에 잘 입힐것같아요ㅎㅎㅎ 회사에 있는 푸들 옷도 같이 주문했는데 잘 맞을런지 모르겠지만 매우만족해요!! 슬링백은 좀 얇구요 제 키가 작은편은 아닌데도 키작은분들이 쓰기엔 너무 긴것같다는 생각이 들어용 여기 귀여운 강아지옷듀 많고 담에 또 주문하겠습니당ㅎㅎ,5,1
두번정도 세탁했는데 색도 안 빠지고 괜찮네요!,5,1
이거진짜 핵귀야움!! 핑크색 완전 러블리 실물이 짱이에여 다른색도 사고파용,5,1
귀여워요.. 핰 다른 색은 아직 안입혀봐써여,5,1
스판인데다가 시보리처리 되어있구 발넣는곳도 구멍이 크지않아 배를 하늘로 향해잘때도 발빠짐이 없어 너무 좋습니다.촉감은 부드럽구 사이즈도 딱이고 짐까지 입히는 조끼중에 젤 맘에 들어요. 실내복으로도 최고구  좀 더 큰 사이즈도 구매해서 이중으로 겉옷에 입혀야겠어요.^^,5,1
뒷다리가 추워보여서 올인원을 처음 사줬는데 아주 좋습니다. 이 옷입으면 귀엽다고 인기만점이에요.,5,1
아이한테 넘 잘 맞아요 다른 아이들것도 구매하려구요~~,5,1
배송 빨리 오고 좋아요. 재질도 부들부들 좋아요. 강아지가 좋아해요. 그리고 옷이 너무 귀여워요.,5,1
"레드,네이비 샀는데 s와m의 사이즈 차이가 크네요 특히 목둘레가요..1.8키로  2.8키로  토이푸들인데요  1.8키로: s는 딱맞고 m은 엄청크고 2.8키로:s는 작고 m은 헐렁해요 목둘레가요~길이는 맞구요~ m이 약간만 작았으면 딱인데 미용을 한상태라 더 그랬을수도 있구요~ 질은 좋아요~^^",5,1
10키로 믹스에용 몸통이 두꺼운 편이라 가슴쪽만 살짝 껴요ㅋㅋ 그거말곤 다 이뻐요 천도 좋아요,5,1
나그랑티 마음에 들어서 세종류 다 샀어요 아직 노란색만 입혀봤는데 다른 색도 다 예뻐요,5,1
말티즈 1.5kg 울집 막내 옷 샀어요^^ S  핑크색으로 샀는데 예쁘네요. 옷은 너무 편하고 좋은데 길이가 조금 작은듯 하네요. 품은 넉넉해요^^ 울 막내가 큰편은 아닌것 같은데 ^^,5,1
촉감도 좋구 따뜻해 보여요,5,1
닥스훈트가 입기에도 나름 괜찮았어요ㅎㅎ다만 물어뜯어서 하나 더사야할것같아요ㅠㅠ,5,1
집에서 미용하고 추워해서 사줬어요 가격도 너무저렴하고 재질도 너무 부드러워요,5,1
너무너무 대만족이에요,5,1
고양이한테 입혀도 딱 좋아요!,5,1
너무 귀여워요..  사이즈도 잘 맞고 강아지가 옷입는걸 싫어하는데 입히기 너무편해서좋아요,5,1
3.3키로 정도 되는 말티즈에요 L사이즈 입으니 적당히 딱 맞고 색도 귀엽고 좋아용!,5,1
사진이랑별반다를건없는데 그래도 옷이 구김이 좀 있네요 그래도 입혀놓으니 이쁘네요!,5,1
겨울동안 추울때 잘 입혀서 산책다녔어요ㅎㅎ,5,1
강아지한테 다행히 아슬아슬하게 맞아요. 너무 예쁘네요. 강아지한테 입혀두고 설날가니 다들 예쁘다네요.,5,1
옷 이뿌네요 근데 입히기 힘들어서 잘 안입히게되네요ㅜ,5,1
짱 귀여워요ㅠㅠ 우리 멍멍이 외모 포텐을 올려주는!,5,1
빨리왔고 저렴한 가격에 너무 귀여운 옷이에요,5,1
토순이토끼 너무 좋아요~ 겨울에 따뜻하게 잘 입힐게요~,5,1
지퍼도 플라스틱재질이라 안전하고 너무 따뜻할거같더라구요. 목까지 올라오니까 목도리도 필요가 없구 너무 좋아요. 게다가 색감이 너무 예뻐서 마음에 들어요. 잘 입히겠습니다!!,5,1
배송도 빠르고 옷재질이좋아요~ 조끼너무너무귀여워요 다음에또살게요~,5,1
좋아요 좋아요 좋아요,5,1
좋아요 좋아요 좋아요,5,1
좋아요 좋아요 좋아요 좋아요,5,1
좋아요 좋아요 좋아요 좋아요,5,1
빡빡이되고 불쌍해서 밖에 다녀도 2xl는 없어서 급하게 샀는데 맘에듭니다,5,1
이 퀄리티를 누가 만원이하라고 생각하겠어요. 두껍고 좋네요 너무 귀여워서 심장이 멈출뻔했네요,5,1
가격대비 굿~~~^^ 봄되면 또 구매하러올께욧!,5,1
긔엽고 소재도좋은것같아요,5,1
긔엽고 소재도좋은것같아요,5,1
디자인도 이쁘고 재질도 좋아요,5,1
입고 벗기기에 편해요,5,1
봄에입기좋아요 오른쪽 중간옷이요,5,1
쫀쫀하니 진짜 면이좋아요,5,1
너무 따쑤할거 같아요 ㅎㅎ 잘 입힐게요 참고로 저희 댕댕이는 6kg에요..다리가 짧고 몸이 긴 ㅎㅎ,5,1
예쁘고 좋아용~~~,5,1
가격도싸고 입히기도편하고 강아지도 편해하는거같아요 니트로된거입혔드니 밤사이 혼자 탈의하고 벌벌떨고있더라고요 발톱으로긁어도 안벗겨지고 좋아요!,5,1
넘기여워여 쪼낀줄알았는데 걍티내여ㅜ 오프서 만오천원하길래 언능샀어용,5,1
옷이딱맞았는데한달뒤는 등길이가길어저서 옷이짧아졌어요,5,1
울아가 털갈이하느라 다 밀어버려서 추워보였는데 입히니 한결낫네요 깔끔하고 예뻐요~~,5,1
작은감이 없지않아 있지만 옷은 부드럽고 좋아용!.!><,5,1
옷이첨엔딱맞았는데지긍은강아지가 커서 옷이껴요,5,1
생각보다 괜찮네요 아기때매 한겨울에도 빡빡이로미니 오들오들떨어서샀는데 잘 입고있어요ㅎ,5,1
소재도 나쁘지 않고 마감도 괜찮아오 저렴하게 잘 구매했습니다~~^^,5,1
너무 귀여워요 택배 6개 왔는데 제일먼저 뜯어봤어요 사랑스럽네요,5,1
라지 시켰는데 사이즈가 좀 작게 나온거같구요 근데 클거 각오하고 시켰던터라 잘맞네요 ㅋㅋ 따뜻하고 부드러워요 강아지가 안벗을라고하네요,5,1
옷 싸게 잘 샀어요 보들보들 하니 애도 좋은지  편안해 보이네요  원래 라지 입는데 정사이드 구요  말티 10년된애 에요  만족합니다,5,1
화사해보이고 너무 예뻐요 털 끼임 방지하는 것도 있어서 편하고 안전해요 배송도 빨라요! 이번 겨울 요 후리스로 잘 보낼 수 있겠어용,5,1
다른 S 사이즈에 비해서는 조금 작게 나왔지만 작은 강아지들한테는 좋은 거 같아요 뒤 쪽에 지퍼가 있는 제품이라 강아지가 물지도 않고 좋습니다,5,1
너무 예뻐요 토순이조끼,5,1
너무 귀엽고 예뻐요,5,1
발까지 가려서 좋아서 산책 할 때 덜 추운거같아요 너무 이뻐요,5,1
아이들에게 사이즈도 아주 딱이에요 따뜻,5,1
"부드럽고 가성비가 너무좋은데 목부분이 좀 조이나봐요ㅠ 자꾸 물어뜯네요,, 그래도 옷이 참 괜찮습니다 그나마 편해보여요~",5,1
가성비 좋은옷~ 담에도 여기서 구매할게여~ 만족스럽습니다! 같은옷 색별로 두개 구매햇어요~,5,1
약간 다른 가게옷보다 작은감이있지만  그래도 입다보면 늘어날거같아여  잘어울려요~,5,1
집에서 입히기에 편하게 보이기도하고 수면잠옷  옷감이라 보ㅡㄹ보들 ㅎ,5,1
따뜻하고 불편해하지 않아 좋아요 또구매했어요,5,1
좋아요 재구매했어요ㅅ,5,1
좋아요 재구매했어요ㅎ,5,1
옷도 이쁘고 마음에 들어요,5,1
옷도 이쁘고 마음에 들어요,5,1
저렴한데 질도좋고 편하고 이건몇개 쟁여야할것같아여!!!,5,1
보들보들 촉감이 좋아요ㅎ,5,1
핑크색 사고 맘에 들어서 재구매했어용,5,1
추운날 입히려고 샀는데 애가 잘 입고 편해합니다,5,1
귀엽네요 ㅎ 배송와서 털이 많이 빠지길래 한번 세탁해서 입혔어요,5,1
옷도 편하고 저희 애기가 입었을때 너무 귀여워보여요 다음에 다른색도 구매할께요,5,1
나중에 다른 색도 하나 사야겠어요 이뻐요,5,1
이뻐요! 입힌 사진은 없지만 잘어울리네요,5,1
생각보다 소매가 기네요,5,1
사이즈도 맞고 아이가 편해해요,5,1
보드랍고 따뜻해서 작은 아이가 좋아해요.,5,1
생각보다 디자인도 귀여워요~,5,1
이뻐요..너무 귀엽구요. 말티즈4키로인데 조금 커요.. 흰색부분이 면이라 신축성도 조금있구요..,5,1
보드랍고 두툼해서 넘 예뻐요.,5,1
나름 따뜻할거같아요,5,1
애기가 모자있는 옷은 불편해 해서 잘 안입히게되네요ㅠㅜ,5,1
옷은 귀여운데 저희 애기가 모자때문에 불편해하네요,5,1
배송빠르고 이뻐요ㅎㅎ,5,1
생각보다 아담해서 놀랐어요.ㅋㅋㅋ 한 사이즈 크게 살껄....ㅠ 그래도 이쁘고 따뜻해서 만족하고 있습니다. 다만 지퍼가 계속 내려가서 조금 아쉽네요.,5,1
요새 패딩안에 입히는데 너무 기여워여ㅠ,5,1
조금 커서 아쉬워요 교환하기도 번거롭고 해서 손바느질로 대략 조여서 입혀요.,5,1
따뜻하게 잘 입히고있어요~,5,1
모두가 다 잘 맞으면 좋겠지만 동일 하지 않은 점빼고는 괜찮아요,5,1
같은 사이즈인데 어떤 옷은 크고 어떤 옷은 잘맞고 하네요 이번에 여러개를 주문했는데 사이즈가 동일 하지 않아서 조금 아쉽습니다,5,1
두고두고 잘 입을께요 감사합니다,5,1
두고두고 잘 입을께요 감사합니다,5,1
면도 좋고 빨아도 보풀이 생기지 않고 신축성도 있음. 한치수 크게 시킴,5,1
멜빵이랑 골지티 주문해서 입혔어요! 너무 귀여워요ㅎㅎ,5,1
골지티 멜빵 같이 구매해서 입혔어요 ㅎㅎ 넘 귀여워요,5,1
두고두고 잘 입겠습니다 감사합니다,5,1
보통 L사이즈가 맞았는데 요건 조금 작게 나온거 같애요.. 하지만 예쁘고 신축성도 좋으네요~~,5,1
푸들인데 평소 라지사쥬 맞았는데 길이가 좀 짧지만 품은 맞아요~~귀여워요~,5,1
예쁘고 활동성 좋고 착한가격 아주 좋아요.,5,1
활동성 좋고 착한가격 마음에들어요,5,1
라지 사쥬 구매했는데 길이가 좀 짧지만 이뻐요,5,1
크지만  예ㅣ쁘네요,5,1
사이즈는 한사이즈 크게 주문했어야 했지만 입히니깐 귀여워요~~,5,1
겨울에 미용해놓으면 추워해서 집에서 티셔츠입혀놀려구 샀어요 이쁘고 원단도 괜찮아요^^,5,1
사이즈 미스로 교환했는데 처리도 빠르게해주시고 좋았어요!,5,1
괜찮아요~~~///~///~////~~~/,5,1
요제품은 색상별로 다산거같아요ㅋㅋ,5,1
정말 너무 귀여워요~!ㅋㅋ잘입힐게요,5,1
마음에들어요!!!배송이 정말 빨라서 좋았어요,5,1
소재 부들부들하고 예쁘네용,5,1
냥냥이 목에너무 커서 어깨가들어나서 수선한거빼곤 부들부들 조으네요 ㅋㅋ 잘입고있어용,5,1
따시겠어요 잘 입힐게요 강아지가 웃네요,5,1
귀엽고 깜직한게ㅡ따따하게 입힐려고요,5,1
적당히 따뜻하고 아주 귀여움,5,1
저렴하게 잘 샀어요 7킬로 엑스라지 입혔어요 입고 잘 놀아요,5,1
좋아요 후리스 너무 귀여워요 다들 어디서 이런 옷을 샀냐고 그래요ㅋㅋ,5,1
진짜예뻐요 딱맞구요,5,1
주문한 상품은 빠르게 잘 받았습니다. 상품 싸이즈가 생각보다 작은것 같아서  아쉽네요. 수고하세요!,5,1
이 옷 되게 좋아해요,5,1
가운데 단추가 깨졌어요ㅜㅜ 그래서 별 하나 뺐어요,5,1
몽뭉이들리 누너머 기여어요ㅠㅠㅠ,5,1
다른옷에 비해서 신축성이 없어요,5,1
신축성도 좋고 편하게입어요,5,1
지퍼라서 편하게 입혀요,5,1
끝이 돌돌 말려요 이건,5,1
오줌 싸거나 똥 쌀 때 안 묻을 것 같아요 후리스 조끼랑 입히려고 샀는데 넘나 찰떡 ㅠㅠ,5,1
유기견 후원선물로 샀어요,5,1
유기견후원하려고 샀어요,5,1
유기견후원하려샀어요,5,1
카키색 샀다가 너무 귀여워서 베이지도 샀어요 ㅎㅎ 만족합니다 개타고니아,5,1
아직 애기라서 못입혔어욯ㅎㅎㅎ,5,1
너무귀여워요 길이가 살짝 짧은 감 있지만 짧은 조끼입힌 느낌입니다 ㅋㅋㅋ 귀여워요! 사이즈를 처음에 잘못 주문햇지만 재주문 후 사이즈 성공했어요~ 앞으로 사이즈는 가슴둘레로 맞춰사면될것같아요^^ 감사합니다,5,1
사진하고 똑같네요. 너무귀여워요~,5,1
라지샀는데 좀 작게나온거같은데요 ㅠㅠ 작으면 작은대로 그냥 입히려고 세탁기행. 싸쥬말고는 이가격에 만족합니다,5,1
옷입는고 싫어 하는데 따뜻하고 좋아해요,5,1
옷입는고 싫어 하는데 따뜻하고 좋아해요,5,1
너무 춥지 않을때 산책용으로 입히면 놓을것이다 같아요. 가볍고 따뜻해 보입니다,5,1
선물로 구매했어요! 저렴하고 좋아요,5,1
사진과같아요 따수울듯,5,1
실물이더이뼈요   활동성도좋아서  맘에속들어요,5,1
밝은 브라운이라 더 맘에 듭니다. 가볍게 잘 입힐수 있겠어요,5,1
조끼 너무 귀여워서 사람들이 다 물어봐요 ㅠㅠ,5,1
피부질환으로 털을 민 아이에게 입히니 딱 좋습니다,5,1
사이즈가 생각보다 큰거 같아요! 너무 잘입히고 있습니다 부드럽고 좋아요,5,1
생각보다 강아지에게 잘어울렸습니다.,5,1
사람들이 다 조끼 귀엽다고 어디서 샸나고 물어봐요 ㅠㅠㅠ,5,1
옷세개 신발하나구매했는데 옷도 다사이즈도맞고 너무예뻐요 신발도 벗겨질까봐걱정이였는데  약간커도 쪼임이있어서 전혀벗겨지지않아요ㅎㅎ  강아지가적응만하면될듯해요ㅋㅋ이상한지 발을자꾸들어서ㅋㅋ,5,1
이뻐요. 생일파티할때 입었는데 진짜 이뻤어요 ㅎ 근데 리본.. 정말 제대로 붙어있지않아서 바느질 다시했어요. 그것빼고는 굿~~,5,1
귀여워요 따뜻하게 잘입고있습니다 3키로 말티즈인데 라지 샀어요,5,1
예쁘고 사이즈도 딱 맞아요,5,1
생각한 만큼의 제품이 왔어요...,5,1
공쥬옷 사이즈는 좀 작게나온듯하구여. 사진빨 최고 잘받아요 ㅎ,5,1
애기들입히려고샀어요 이뻐요,5,1
애기들입히려고샀어요 이뻐요,5,1
애기들입히려고샀어요 이뻐요,5,1
애기들입히려고샀어요 이뻐요,5,1
아주 좋아요 사이즈도맞고,5,1
수면조끼 저렴해서 핑크랑 민트 구입했어요 보들보들 가벼워 좋아요,5,1
정말 딱 맞고 최고에요!!등길이가 길어서 고르고 골라서 샀는데 안성맞춤이에요,5,1
입는순간 인싸되는 초귀염옷 ㅠㅠ 고무줄짱짱하고 보풀없어요!,5,1
옷을 샀는데 그냥 장난감으로 쓰고있어여 ㅎ 코끼 눈코입꽃 다 이빨류 뜯어내고 요새는 물어뜯고 노네요 공보다 더 잘 가지고 놀아요 ㅎ,5,1
선물용으로 샀는데 친구개 허리가 너무 길어서 ㅋㅋㅋ티처럼 보여요!! 그래도 넘 귀여워요,5,1
조끼에지퍼없어요ㅠㅠ 있는줄알았는데 고거빼고는 괜찮아요,5,1
조끼에지퍼없어요ㅠㅠ 있는줄알았는데 고거빼고는 괜찮아요,5,1
조끼를시켯는데 지퍼나똑딱이가있는주 알고 주문했는데 없었네요ㅠㅠ 고거빼면 괜찮아요,5,1
ㅋㅋㅋ귀여움ㅋㅋㅋ 안입을까봐 그냥 젤 싼거 했는데 가성비 갑ㅋㅋㅋ 가슴둘레 52나오고 10키로 정도 나가는데 투엑스라지하니까 되네용. 요롱이라 길이만 좀 짧아요 ㅋㅋ,5,1
너무 좋앗어요굳굳굳,5,1
이렇게 귀여울수가 있나요?...,5,1
아주 귀엽습니다~~,5,1
예뻐요. 말티즈 사이즈도 잘맞아요,5,1
잘받았습니다  예뻐요,5,1
잘받았습니다  예뻐요,5,1
예뻐요  잘받았습니다,5,1
넘  이쁘고 좋아요,5,1
좋아서 재구매했어요!,5,1
좋아서 재구매했어요,5,1
강아지한테 입혀줬더니 너무 예뻐요  모자를 씌여주니깐 너무 커서 눈이 가려져요  모자말고는 맘에들어요 이번겨울에 따뜻하게 보낼 수 있을거 같아요,5,1
새해 맞이 여행으로 사서 잘 놀다왔어요 너무 귀엽고 딱 맞아서 만족해요,5,1
털깎았을때 집안에서 썰렁하지않게 평상복으로 딱입니다,5,1
패딩 안에 이너로 입혀요~ 불편할까 걱정했는데 잘 다니네요,5,1
싸게사서 잘 입히고있어요 ㅎㅎ,5,1
두번째 구매해서 잘 입히고 있습ㄴ다,5,1
만족하며잘 입히고 있습니다,5,1
잘입히고  있습니다,5,1
아이가 편안해해요. 사이즈만 있음 더 샀을텐데,5,1
편하게 잘 쓰고 있어요. 좋아요.,5,1
다리부분은 길어서 조금 자르고 다시 꿰맸어요 그거말곤 너무 귀엽고 산책갈때도 따뜻하게 갈수있어 좋아요,5,1
계속해서 잘입고 다니고있습니다.,5,1
입혀 놓으면 너무너무 귀여워요,5,1
옷은 넘좋은대 지퍼가 등에있어야 편한대말이죠 ㅠ ㅠ  그거빼면 아주좋아요.,5,1
